ID,R_Score,F_Score,M_Score,RFM_Score,RFM_Label
5524,3,5,5,13,Loyal
2174,4,1,1,6,New Customers
4141,4,4,4,12,Champions
6182,4,2,1,7,New Customers
5324,1,4,3,8,Regulars
7446,5,4,4,13,Champions
965,4,4,3,11,Loyal
6177,4,2,2,8,New Customers
4855,5,1,1,7,New Customers
5899,2,1,1,4,At Risk
1994,5,1,1,7,New Customers
387,3,1,2,6,Regulars
2125,1,3,4,8,Regulars
8180,3,3,3,9,Regulars
2569,4,1,1,6,New Customers
2114,4,5,5,14,Champions
9736,3,2,2,7,Regulars
4939,4,3,3,10,Loyal
6565,1,5,5,11,Loyal
2278,1,2,2,5,At Risk
9360,3,3,3,9,Regulars
5376,3,5,4,12,Loyal
1993,2,3,4,9,Regulars
4047,5,4,3,12,Champions
1409,2,4,3,9,Regulars
7892,1,2,2,5,At Risk
2404,5,3,3,11,Loyal
5255,5,3,3,11,Loyal
9422,4,2,2,8,New Customers
1966,1,5,5,11,Loyal
6864,4,2,1,7,New Customers
3033,3,2,3,8,Regulars
5710,4,2,2,8,New Customers
7373,5,3,3,11,Loyal
8755,5,4,5,14,Champions
10738,3,1,2,6,Regulars
4339,4,5,4,13,Champions
10755,2,2,2,6,At Risk
8595,1,1,2,4,At Risk
8601,5,4,5,14,Champions
503,1,1,1,3,At Risk
8430,5,1,1,7,New Customers
7281,1,2,2,5,At Risk
2139,5,2,1,8,New Customers
1371,2,3,4,9,Regulars
9909,4,2,2,8,New Customers
7286,1,1,1,3,At Risk
7244,1,2,2,5,At Risk
6566,4,5,5,14,Champions
8614,4,3,3,10,Loyal
4114,5,5,5,15,Champions
1331,3,1,2,6,Regulars
2225,3,4,5,12,Loyal
9381,3,5,3,11,Loyal
6260,3,5,5,13,Loyal
10383,4,4,4,12,Champions
7437,4,1,1,6,New Customers
8557,3,1,1,5,Regulars
8375,2,4,3,9,Regulars
6853,5,4,5,14,Champions
3076,5,4,3,12,Champions
1012,4,5,4,13,Champions
6518,5,4,3,12,Champions
4137,4,3,4,11,Loyal
8082,2,1,1,4,At Risk
1386,5,1,1,7,New Customers
9369,5,5,5,15,Champions
4477,5,4,4,13,Champions
1357,1,4,5,10,Loyal
1402,5,4,5,14,Champions
10629,4,2,2,8,New Customers
6312,4,5,4,13,Champions
8132,1,5,4,10,Loyal
1050,3,2,2,7,Regulars
5846,2,1,1,4,At Risk
1859,4,4,5,13,Champions
7503,3,4,5,12,Loyal
10401,5,1,1,7,New Customers
1618,5,4,4,13,Champions
3332,1,3,2,6,At Risk
2261,5,1,1,7,New Customers
5346,1,2,2,5,At Risk
4119,3,2,3,8,Regulars
535,5,5,4,14,Champions
5268,1,1,2,4,At Risk
273,3,3,2,8,Regulars
4452,5,3,3,11,Loyal
8504,2,4,5,11,Loyal
771,2,2,3,7,Regulars
8996,5,5,3,13,Champions
9235,3,1,1,5,Regulars
5798,1,3,4,8,Regulars
11178,2,1,1,4,At Risk
2230,1,2,1,4,At Risk
7516,4,1,1,6,New Customers
7247,2,4,3,9,Regulars
11100,4,1,2,7,New Customers
4646,3,5,4,12,Loyal
3037,4,3,3,10,Loyal
1473,5,1,2,8,New Customers
1016,3,1,1,5,Regulars
4518,3,5,5,13,Loyal
9370,2,3,4,9,Regulars
8908,4,4,4,12,Champions
8373,1,1,1,3,At Risk
7533,5,3,2,10,Loyal
2683,3,5,4,12,Loyal
3629,5,2,2,9,New Customers
10991,5,3,4,12,Loyal
5077,3,5,4,12,Loyal
7431,3,3,5,11,Loyal
3267,4,4,3,11,Loyal
999,1,5,4,10,Loyal
9215,5,4,3,12,Champions
2286,4,2,2,8,New Customers
1592,4,3,5,12,Loyal
367,2,4,3,9,Regulars
5234,1,1,2,4,At Risk
9862,4,1,1,6,New Customers
9805,2,4,4,10,Loyal
6205,5,2,2,9,New Customers
8442,2,1,1,4,At Risk
7386,1,1,1,3,At Risk
7215,2,5,4,11,Loyal
1491,1,3,3,7,Regulars
11071,4,3,5,12,Loyal
3381,3,2,2,7,Regulars
8268,4,3,3,10,Loyal
11051,2,5,4,11,Loyal
8026,5,4,3,12,Champions
433,3,5,4,12,Loyal
9597,5,4,4,13,Champions
1295,1,4,4,9,Regulars
5290,3,3,3,9,Regulars
1685,4,5,5,14,Champions
5342,4,1,1,6,New Customers
9579,2,2,2,6,At Risk
7660,4,1,1,6,New Customers
1461,2,1,1,4,At Risk
821,3,4,5,12,Loyal
11084,5,3,4,12,Loyal
8690,2,5,5,12,Loyal
2937,3,5,4,12,Loyal
9701,5,3,3,11,Loyal
9949,4,3,4,11,Loyal
10837,3,1,2,6,Regulars
3120,3,1,1,5,Regulars
5885,1,3,3,7,Regulars
4050,2,2,2,6,At Risk
3830,3,3,3,9,Regulars
7987,1,4,3,8,Regulars
7798,4,3,3,10,Loyal
92,5,2,2,9,New Customers
7055,3,5,4,12,Loyal
10240,5,4,5,14,Champions
3025,5,3,3,11,Loyal
9283,3,1,1,5,Regulars
9970,5,2,2,9,New Customers
2730,2,4,5,11,Loyal
2795,5,1,1,7,New Customers
9260,4,5,5,14,Champions
8182,1,2,2,5,At Risk
10095,5,4,5,14,Champions
8475,1,5,4,10,Loyal
4370,1,2,2,5,At Risk
10573,4,4,3,11,Loyal
3712,2,3,3,8,Regulars
6637,3,3,4,10,Loyal
3152,1,2,2,5,At Risk
5610,3,1,1,5,Regulars
6460,2,1,2,5,At Risk
1349,5,2,2,9,New Customers
1880,5,2,2,9,New Customers
641,2,1,2,5,At Risk
8717,3,5,5,13,Loyal
10314,2,5,5,12,Loyal
10854,1,1,1,3,At Risk
10492,1,1,1,3,At Risk
6935,3,5,4,12,Loyal
7698,1,2,2,5,At Risk
3559,2,2,2,6,At Risk
10562,4,5,4,13,Champions
10796,5,1,2,8,New Customers
2563,1,1,1,3,At Risk
3518,3,1,1,5,Regulars
5823,2,1,1,4,At Risk
3934,4,4,3,11,Loyal
6982,5,5,5,15,Champions
6431,5,1,2,8,New Customers
9733,3,1,2,6,Regulars
5602,1,5,5,11,Loyal
1324,1,2,2,5,At Risk
326,4,3,3,10,Loyal
7224,4,1,1,6,New Customers
6999,1,5,4,10,Loyal
9938,1,3,5,9,Regulars
6422,4,3,5,12,Loyal
3182,1,3,3,7,Regulars
7300,3,4,3,10,Loyal
10424,2,4,5,11,Loyal
8727,2,5,4,11,Loyal
2798,3,5,5,13,Loyal
1030,2,1,1,4,At Risk
624,5,1,1,7,New Customers
5176,1,1,1,3,At Risk
5552,3,3,3,9,Regulars
868,1,1,2,4,At Risk
380,5,5,5,15,Champions
2677,5,3,3,11,Loyal
6521,5,4,4,13,Champions
6927,2,4,3,9,Regulars
2877,4,5,3,12,Champions
0,2,3,5,10,Loyal
1584,2,4,3,9,Regulars
7264,5,1,1,7,New Customers
6274,1,5,5,11,Loyal
1377,4,3,3,10,Loyal
454,3,5,4,12,Loyal
1755,1,1,2,4,At Risk
2075,3,3,4,10,Loyal
4785,5,4,4,13,Champions
9076,3,3,2,8,Regulars
7079,4,5,5,14,Champions
4653,3,3,2,8,Regulars
7375,1,3,3,7,Regulars
709,4,4,4,12,Champions
460,2,3,5,10,Loyal
3726,2,1,1,4,At Risk
6798,4,5,3,12,Champions
5341,5,3,5,13,Loyal
1606,2,1,1,4,At Risk
9617,4,1,1,6,New Customers
3233,1,5,4,10,Loyal
89,3,2,2,7,Regulars
2936,3,1,1,5,Regulars
9449,4,4,3,11,Loyal
7297,3,2,2,7,Regulars
313,1,4,5,10,Loyal
9940,1,3,4,8,Regulars
10735,2,1,1,4,At Risk
9529,5,4,5,14,Champions
6439,4,5,4,13,Champions
7411,4,1,1,6,New Customers
2176,3,3,5,11,Loyal
9265,2,4,5,11,Loyal
8867,1,4,5,10,Loyal
8932,3,5,5,13,Loyal
10236,3,1,2,6,Regulars
6340,3,1,1,5,Regulars
10089,5,5,4,14,Champions
2227,1,2,3,6,At Risk
10992,2,5,4,11,Loyal
5304,4,1,1,6,New Customers
309,3,4,4,11,Loyal
3406,1,3,3,7,Regulars
2661,1,2,1,4,At Risk
3153,4,1,1,6,New Customers
10264,2,1,1,4,At Risk
1184,3,5,4,12,Loyal
4200,1,3,3,7,Regulars
9396,4,1,1,6,New Customers
2387,5,3,3,11,Loyal
6690,4,2,2,8,New Customers
1225,3,4,5,12,Loyal
9703,2,2,2,6,At Risk
291,5,3,4,12,Loyal
4557,5,2,2,9,New Customers
2379,4,3,5,12,Loyal
5726,5,2,2,9,New Customers
3066,5,3,3,11,Loyal
6336,3,2,1,6,Regulars
10967,4,2,2,8,New Customers
2304,1,5,4,10,Loyal
3445,3,5,4,12,Loyal
7828,4,3,4,11,Loyal
3762,4,3,4,11,Loyal
4391,2,4,4,10,Loyal
4669,3,2,2,7,Regulars
10144,1,3,3,7,Regulars
8652,4,3,3,10,Loyal
1672,2,3,3,8,Regulars
8962,5,1,1,7,New Customers
9974,2,1,2,5,At Risk
10983,5,5,4,14,Champions
8148,1,5,4,10,Loyal
10102,5,4,5,14,Champions
4697,2,3,3,8,Regulars
9262,5,1,1,7,New Customers
7254,2,2,2,6,At Risk
4543,4,4,5,13,Champions
4927,2,2,2,6,At Risk
10451,5,1,1,7,New Customers
2926,2,5,5,12,Loyal
2874,4,1,1,6,New Customers
9738,3,1,2,6,Regulars
7119,3,3,4,10,Loyal
3924,4,5,4,13,Champions
5827,3,2,2,7,Regulars
5596,3,4,4,11,Loyal
10812,1,1,2,4,At Risk
1717,3,3,3,9,Regulars
9491,2,2,2,6,At Risk
9274,3,5,5,13,Loyal
6609,2,1,2,5,At Risk
6963,1,4,4,9,Regulars
4440,1,4,3,8,Regulars
1379,5,2,3,10,New Customers
10032,1,2,1,4,At Risk
2826,4,1,1,6,New Customers
2437,2,5,5,12,Loyal
6320,3,5,5,13,Loyal
